country,iso,survey_start_year,survey_end_year,age_group,population,region,sub_region,intermediate_region,contraceptive_any_method,contraceptive_any_modern_method,contraceptive_any_traditional_method,contraceptive_emergency_contraception,contraceptive_female_condom,contraceptive_female_sterilization,contraceptive_implant,contraceptive_injectable,contraceptive_iud,contraceptive_lactational_amenorrhea_method_lam,contraceptive_male_condom,contraceptive_male_sterilization,contraceptive_other_modern_methods,contraceptive_other_traditional_methods,contraceptive_pill,contraceptive_rhythm,contraceptive_vaginal_barrier_methods,contraceptive_withdrawal,unmet_need_limiting,unmet_need_spacing,unmet_need_total,demand_satisfied,data_source_datacatalog_id,data_source_datacatalog_longname,data_source_source,notes,notes_contraceptive_use_methods,notes_contraceptive_use_population,notes_contraceptive_use_residuals_modern_methods,notes_contraceptive_use_residuals_traditional_methods,notes_note_on_country,notes_unmet_need_indicator,notes_unmet_need_population_excluded,notes_unmet_need_population_included
Afghanistan,4,1972,1974,15-44,EM,Asia,Southern Asia,NA,1.6,1.6,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,1,NA,0.2,NA,NA,NA,NA,NA,160,Afghanistan 1972-1974 National Demographic and Family Guidance Survey,National survey,,NA,Data pertain to ever-married women of reproductive age.,NA,NA,NA,NA,NA,NA
Afghanistan,4,2e3,2e3,12-49,MW,Asia,Southern Asia,NA,5.3,3.6,1.2,NA,NA,0.8,NA,1.3,0.3,21.6,NA,0.1,NA,0.3,1.2,0.4,NA,0.5,NA,NA,NA,NA,2893,Afghanistan 2000 Multiple Indicator Cluster Survey,MICS,,Figures by method do not add up to the total. Excluding Lactational Amenorrhea Method (LAM).,NA,NA,NA,"Data pertain to Nangarhar, Konar and Laghman, Ghazni, Paktika and Paktya, Logar and Wardak provinces.",NA,NA,NA
Afghanistan,4,2003,2003,<50,MW,Asia,Southern Asia,NA,10.3,8.7,1.6,NA,NA,NA,NA,2.2,NA,NA,0.6,NA,0.7,NA,5,NA,NA,NA,NA,NA,NA,NA,1925,Afghanistan 2003 Multiple Indicator Cluster Survey,MICS,,Adjusted.,NA,Including male and female sterilization.,NA,NA,NA,NA,NA
Afghanistan,4,2005,2005,<50,MW,Asia,Southern Asia,NA,13.6,12.5,1.1,NA,NA,NA,NA,5,NA,NA,1.1,NA,0.4,NA,6,NA,NA,0.8,NA,NA,NA,NA,4368,Afghanistan 2005 National Risk and Vulnerability Assessment,National survey,,Adjusted.,NA,Including male and female sterilization.,NA,NA,NA,NA,NA
Afghanistan,4,2006,2006,10-49,MW,Asia,Southern Asia,NA,18.6,17.5,1.1,NA,NA,0.7,NA,5.4,1,3.2,2.2,NA,NA,NA,8.1,0.5,NA,0.6,NA,NA,NA,NA,4369,Afghanistan 2006 Health Survey,National survey,,Figures by method do not add up to the total because some methods are used in combination.,NA,NA,NA,"Excluding the six largest cities (Kabul, Hirat, Mazar-e-Sharif, Kunduz, Jalalabad and Kandahar), 5 of the 34 provinces in the country and 28 out of the selected 425 clusters where fieldwork was not completed due to security reasons.",NA,NA,NA
Afghanistan,4,2007,2008,15-49,MW,Asia,Southern Asia,NA,22.8,15.2,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4465,Afghanistan 2007-2008 National Risk and Vulnerability Assessment,National survey,,NA,NA,NA,NA,NA,NA,NA,NA
Afghanistan,4,2010,2010,15-49,MW,Asia,Southern Asia,NA,21.8,19.9,2,NA,NA,1.4,0.1,6.5,1.3,3.6,1.7,0,NA,0.3,5.3,0.3,NA,1.4,NA,NA,NA,NA,5045,Afghanistan 2010 Mortality Survey,National survey,,NA,NA,NA,NA,Excluding areas in the South zone.,NA,NA,NA
Afghanistan,4,2010,2011,15-49,MW,Asia,Southern Asia,NA,21.2,20.3,1,NA,0.2,0.6,0.8,9.6,1.2,0.8,1.3,0.2,NA,0.5,5.5,NA,0.1,0.5,NA,NA,NA,NA,4983,Afghanistan 2010-2011 Multiple Indicator Cluster Survey,MICS,,NA,NA,NA,NA,NA,NA,NA,NA
Afghanistan,4,2012,2012,12-49,MW,Asia,Southern Asia,NA,NA,13.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7515,Afghanistan 2012 Health Survey,National survey,,NA,NA,NA,NA,NA,NA,NA,NA
Afghanistan,4,2015,2016,15-49,MW,Asia,Southern Asia,NA,22.5,19.8,2.7,NA,NA,1.8,0.2,4.9,1.4,1.3,3.3,0,0,0.1,6.8,0,NA,2.6,7,17.5,24.5,42.1,5689,Afghanistan 2015 Demographic and Health Survey,DHS,,Figures by method do not add up to the total.,NA,NA,NA,NA,NA,NA,NA
